"id","object_id","title","artist_display_name","artist_nationality","artist_begin_date","artist_end_date","object_end_date","medium","department","culture","dimensions","country","repository","created_at"
"1","34","Acorn Clock","Forestville Manufacturing Company","American","1835","1853","1850","Mahogany, laminated","The American Wing","American","24 3/8 x 14 5/8 x 5 1/8 in. (61.9 x 37.1 x 13 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"2","37","Figure of Admiral George Rodney","Pierre Stephan","French","1765","1795","1785","Earthenware, basalt","The American Wing","British (American market)","H. 12 in. (30.5 cm)","England","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"3","38","Figure of Admiral Samuel Hood","Pierre Stephan","French","1765","1795","1785","Earthenware, basalt","The American Wing","British (American market)","H. 12 3/8 in. (31.4 cm)","England","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"4","40","Ale Glass","New England Glass Company","American","1818","1888","1870","Pressed glass","The American Wing","American","H. 6 9/16 in. (16.7 cm); Diam. 3 in. (7.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"5","108","Andiron","John Bailey","American","1736","1815","1814","Brass and iron","The American Wing","American","16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"6","109","Andiron","John Bailey","American","1736","1815","1814","Brass and iron","The American Wing","American","16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"7","110","Andiron","James Davis","American","1803","1828","1828","Brass","The American Wing","American","18 1/2 x 17 in. (47 x 43.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"8","111","Andiron","James Davis","American","1803","1828","1828","Brass","The American Wing","American","18 1/2 x 17 in. (47 x 43.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"9","112","Andiron","John Molineux","American","1797","1820","1810","Brass, iron","The American Wing","American","H. 17 in. (43.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"10","113","Andiron","John Molineux","American","1797","1820","1810","Brass, iron","The American Wing","American","H. 17 in. (43.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
